Singular,Plural,Kategorie,Alternative Kategorie
Aceto balsamico,,Feinkost,
Backpulver,,Haushalt,
Bacon,,Haushalt,
Balsamico-Creme,,Feinkost,
Basilikum,,Haushalt,
Basmatireis,,Getreide,
Bauchspeck,,Fleischprodukte,
Bergkäse,,Milchprodukte,
Blattspinat,,Gemüse,
Blumenkohl,,Gemüse,
Blumenkohl (TK),,Gemüse,
Blätterteig,,Backwaren,
Blüte,Blüten,Haushalt,
Bohnenkraut,,Gemüse,
Breze,Brezen,Backwaren,
Brühe,,Haushalt,
Brühpulver,,Haushalt,
Butter,,Milchprodukte,
Butternut-Kürbis,,Gemüse,
Cajun-Gewürz,,Gewürze,
Camembert,,Milchprodukte,
Cayennepfeffer,,Gewürze,
Champignon,Champignons,Gemüse,
Chilischote,Chilischoten,Gewürze,
Chilischote (rot),Chilischoten (rot),Gewürze,
Chilischote (frisch),Chilischote (frisch),Gewürze,
Crème fraîche,,Milchprodukte,
Cumin,,Gewürze,
Curry,,Gewürze,
Currypaste (gelb),,Gewürze,
Currypaste (rot),,Gewürze,
Dijon-Senf (grob),,Feinkost,
Dill,,Gewürze,
Dörrfleisch (geräuchert),,Fleisch,
Ebly,,Getreide,
Ei,Eier,Haushalt,
Eigelb,,Haushalt,
Eiklar,,Haushalt,
Emmentaler,,Milchprodukte,
Entrecôte,,Fleisch,
Estragon,,Gewürze,
Feta,,Milchprodukte,
Frischkäse,,Milchprodukte,
Frühlingszwiebel,Frühlingszwiebeln,Gemüse,
Gemüsebrühe,,Haushalt,
Gin,,Alkohol,
Gouda,,Milchprodukte,
Gruyère,,Milchprodukte,
Gurke,Gurken,Gemüse,
Hackfleisch (Rind),,Fleisch,
Hackfleisch (gemischt),,Fleisch,
Harissa-Pulver,,Gewürze,
Hefe (frisch),,Haushalt,
Hirschfleisch (Keule),,Fleisch,
Hoisinsauce,,Feinkost,
Hokkaidokürbis,,Gemüse,
Honig,,Feinkost,
Hähnchen,,Fleisch,
Hähnchenbrustfilet,Hähnchenbrustfilets,Fleisch,
Hähnchenschenkel,,Fleisch,
Ingwer,,Haushalt,
Kardamom,,Gewürze,
Karotte,Karotten,Gemüse,
Kartoffel,Kartoffeln,Haushalt,
Kartoffelsalat,,Gemüse,
Kichererbsen (trockene),,Haushalt,
Kirschtomate,Kirschtomaten,Gemüse,
Knoblauch,,Gemüse,
Knollensellerie,,Gemüse,
Knödelbrot,,Backwaren,
Kokosmilch,,Milchprodukte,
Kokosmilch (fettreduziert),,Milchprodukte,
Koriander,,Gewürze,
Koriandergrün,,Gewürze,
Käse (gerieben),,Milchprodukte,
Kümmel (gemahlen),,Gewürze,
Kürbiskerne,,Gemüse,
Lauch,,Gemüse,
Leberkäs,,Fleischprodukte,
Linsen (rot),,Gemüse,
"Linsen (rot, vorgegart)",,Gemüse,
Lorbeer,,Gewürze,
Maisgrieß,,Getreide,
Majoran,,Gewürze,
Maultaschen,,Haushalt,
Mehl,,Getreide,
Milch,,Milchprodukte,
Minze,,Haushalt,
Mozzarella,,Milchprodukte,
Muskat,,Gewürze,
Nürnberger Bratwurst,Nürnberger Bratwürste,Fleischprodukte,
Olive (schwarz),Oliven (schwarz),Haushalt,
Olivenöl,,Feinkost,Fette/Öle
Oregano,,Gewürze,
Pak Choi,,Gemüse,
Pancetta,,Fleischprodukte,
Paniermehl,,Getreide,
Paprika,Paprikas,Gemüse,
Paprika (bunt),Paprikas (bunt),Gemüse,
Paprika (gelb),Paprikas (gelb),Gemüse,
Paprika (rot),Paprikas (rot),Gemüse,
Paprikapulver,,Gemüse,
Paprikapulver (geräuchert),,Gemüse,
Paprikapulver (scharf),,Gemüse,
Parmesan,,Milchprodukte,
Pasta,,Getreide,Teigwaren
Pasta,,Getreide,Teigwaren
Pesto,,Feinkost,
Petersilie,,Haushalt,
Petersilienwurzel,Petersilienwurzeln,Haushalt,
Pfeffer,,Gewürze,
Pfeffer (grün),,Gewürze,
Pfeffer (rot),,Gewürze,
Pfifferling,Pfifferlinge,Haushalt,
Pilz,Pilze,Gemüse,
Pilz (gemischt),Pilze (gemischt),Gemüse,
Piment (gemahlen),,Haushalt,
Pimientos de Padron,,Gemüse,
Pinienkern,Pinienkerne,Haushalt,
Preiselbeermarmelade,,Getreide,
Puderzucker,,Konditorwaren,Grundzutat Backen
Reis,,Getreide,
Riesenbohne (weiß),Riesenbohnen (weiß),Gemüse,
Rinderbrühe,,Fleisch,
Rindfleisch (Bürgermeisterstück),,Fleisch,
Rindfleisch (Schulter),,Fleisch,
Risotto,,Haushalt,
Rosmarin,,Gewürze,
Rotwein (trocken),,Alkohol,
Rotweinessig,,Alkohol,
Rucola,,Haushalt,
Räucherlachs,,Meeresfrüchte,
Röstzwiebel,Röstzwiebeln,Gemüse,
Sahne,,Milchprodukte,
Salatgurke,Salatgurken,Gemüse,
Salz,,Gewürze,
Salz+Pfeffer,,Gewürze,
Sardellenfilet (in Öl),Sardellenfilets (in Öl),Konserven,
Sauerkraut,,Konserven,
Schalotten,,Haushalt,
Schlagsahne,,Milchprodukte,
Schmand,,Milchprodukte,
Schweinefilet,,Alkohol,
Schweinerücken,,Alkohol,
Semmel,Semmeln,Backwaren,
Senf,,Feinkost,
Senf-Dill-Soße,,Gewürze,
Senfsamen,,Feinkost,
Shrimps,,Meeresfrüchte,
Spaghetti,,Getreide,
Speck,,Fleischprodukte,
Staudensellerie,,Gemüse,
Steckerlfisch,,Meeresfrüchte,
Sushi,,Haushalt,
Süßkartoffel,Süßkartoffeln,Haushalt,
Tahin,,Gewürze,
Thymian,,Haushalt,
Tikka-Currypaste,,Gewürze,
Toast,Toasts,Backwaren,
Tomate,Tomaten,Gemüse,
Tomate (bunte),Tomaten (bunte),Gemüse,
Tomate (gehackt),Tomaten (gehackt),Fleisch,
Tomate (stückig),Tomaten (stückig),Gemüse,
Tomatenmark,,Gemüse,
Tortellini,,Haushalt,
Tramezzini,,Haushalt,
Trockenhefe,,Haushalt,
Vanillezucker,,Konditorwaren,Grundzutat Backen
Wacholderbeeren,,Obst,
Walnuss,Walnüsse,Haushalt,
Wasser,,Getränke,
Weißbrot,,Backwaren,
Weißweinessig,,Alkohol,
Weißwurst,Weißwürste,Fleischprodukte,
Wiener,,Fleischprodukte,
Wirsingkohl,,Gemüse,
Zimt,,Gewürze,
Zitrone,Zitronen,Obst,
Zitrone (Abrieb),Zitronen (Abrieb),Obst,
Zitrone (Saft),Zitronen (Saft),Obst,
Zucchini,,Gemüse,
Zucker,,Konditorwaren,Grundzutat Backen
Zwiebel,Zwiebeln,Gemüse,
Zwiebel (rot),Zwiebeln (rot),Gemüse,
griechischer Joghurt,,Milchprodukte,
halbes Hähnchen,,Fleisch,
saure Sahne,,Milchprodukte,
süßer Senf,,Feinkost,
Öl,,Feinkost,Fette/Öle
