Singular,Plural,Kategorie,Alternative Kategorie
Currypulver,,Gewürze,
Apfelessig,,Essig & Öl,
Salatmayonnaise,,Feinkost,
Selleriegrün,,Gemüse,
Kapern,,Feinkost,
Nudelwasser,,Sonstiges,
glatte Petersilie,,Kräuter,
getrocknete Dattel,getrocknete Datteln,Obst,
Pelmeni,,Fertiggerichte,
Glühwein,,Getränke,
weiße Kuvertüre,,Backzutaten,
Lachsfilet mit Haut,Lachsfilets mit Haut,Fisch & Meeresfrüchte,
Bitterschokolade,,Süßwaren,
Vollmilchschokolade,,Süßwaren,
Stremellachs,,Fisch & Meeresfrüchte,
Cheddar,,Milchprodukte,
Grafschafter Goldsaft,,Backzutaten,
Schokodrop, Schokodrops,Backzutaten,
M&M's Erdnuss,,Süßwaren,
Salatkrönung,,Gewürze,
Crème légère,,Milchprodukte,
Dijon-Senf,,Feinkost,
grüner Spargel,,Gemüse,
Pinto-Bohne,Pinto-Bohnen,Gemüse,
Kritharaki,,Getreide,
Smoking Zeus,,Gewürze,
American Sandwich Toast,,Backwaren,
Hafervollkornkeks,Hafervollkornkekse,Süßwaren,
Vanillepaste,,Backzutaten,
Piros Arany,,Feinkost,
Kräuter der Provence,,Gewürze,
Zartbitterkuvertüre,,Backzutaten,
Nougat,,Backzutaten,
Triple Sec,,Getränke,
Rispentomate,Rispentomaten,Gemüse,
Baiser,,Backzutaten,
Lemon Curd,,Konserven,
Tomatensoße,,Konserven,
Hühnerbrühpulver,,Konserven,
Vanilleschote,Vanilleschoten,Backzutaten,
Kirschwasser,,Getränke,
Spareribs,,Fleisch,
Ciabatta,,Backwaren,
Appenzeller,,Milchprodukte,
Cocktailtomate,Cocktailtomaten,Gemüse,
Pastawasser,,Sonstiges,
Löffelbiskuit,Löffelbiskuits,Backwaren,
ungesüßtes Kakaopulver,,Backzutaten,
Gewürzgurke,Gewürzgurken,Gemüse,
Gewürzgurkenwasser,,Sonstiges,
Rapsöl,,Essig & Öl,
Mailänder-Salami,,Fleischprodukte,
Vanilleeis,,Süßwaren,
Schattenmorelle,Schattenmorellen,Konserven,
Bier,,Getränke,
Limettensaft,,Obst,
Stärke,,Backzutaten,
Rinderfilet,Rinderfilets,Fleisch,
Zuckerschote,Zuckerschoten,Gemüse,
Aceto balsamico,,Essig & Öl,
Backpulver,,Backzutaten,
Bacon,,Fleischprodukte,
Balsamico-Creme,,Feinkost,
Basilikum,,Kräuter,
Basmatireis,,Getreide,
Bauchspeck,,Fleischprodukte,
Bergkäse,,Milchprodukte,
Blattspinat,,Gemüse,
Blumenkohl,,Gemüse,
Blätterteig,,Backzutaten,
